"","BirdRichness","BirdAbundance","PlotID","BirdN"
"1",11,7,"01B",2
"2",8,8,"01C",2
"3",10,9.5,"02B",2
"4",12,9.5,"02C",2
"5",10,9,"03B",2
"6",9,10.5,"03C",2
"7",9,5.5,"04B",2
"8",9,9.5,"04C",2
"9",6,7.5,"05B",2
"10",8,6,"05C",2
"11",9,11.5,"06B",2
"12",9,9,"06C",2
"13",11,7,"07B",2
"14",9,9,"07C",2
"15",8,7.5,"08B",2
"16",11,9,"08C",2
"17",5,2.5,"09B",2
"18",8,7,"09C",2
"19",9,7.5,"10B",2
"20",14,21.5,"10C",2
"21",14,15.5,"11B",2
"22",10,12.5,"11C",2
"23",12,14.5,"12B",2
"24",9,6.5,"12C",2
"25",6,4,"13B",2
"26",3,2,"13C",2
"27",8,5.5,"14B",2
"28",5,3,"14C",2
"29",11,13,"16B",2
"30",7,6,"16C",2
"31",8,7,"17B",2
"32",6,7,"17C",2
"33",12,9.5,"18B",2
"34",7,5,"18C",2
"35",14,10.5,"20B",2
"36",6,7.5,"20C",2
"37",7,17,"21B",2
"38",8,10,"21C",2
