"","PlotID","CarabN","CarabRichness","CarabAbundance"
"1","01B",8,4,1.125
"2","01C",8,5,1.75
"3","02B",8,7,3.625
"4","02C",8,5,3.25
"5","03B",8,1,0.375
"6","03C",8,5,2
"7","04B",6,2,1
"8","04C",8,1,0.25
"9","05B",6,3,3.83333333333333
"10","05C",7,6,1.57142857142857
"11","06B",8,9,3.25
"12","06C",7,7,6.57142857142857
"13","07B",8,2,0.75
"14","07C",7,5,1.57142857142857
"15","08B",8,1,2.25
"16","08C",8,6,2.875
"17","09B",8,1,0.5
"18","09C",8,4,1.75
"19","10B",8,11,5
"20","10C",8,10,4.625
"21","11B",8,5,1
"22","11C",8,7,1
"23","12B",8,6,1.625
"24","12C",8,12,4.875
"25","13B",4,0,0
"26","13C",8,1,0.75
"27","14B",8,6,2.25
"28","14C",8,3,0.625
"29","16B",4,1,0.5
"30","16C",4,2,1.25
"31","17B",8,2,2
"32","17C",8,5,2.625
"33","18B",8,5,3.5
"34","18C",8,8,1.875
"35","20B",8,4,1.375
"36","20C",8,4,1.625
"37","21B",8,8,4.625
"38","21C",2,4,9
