"","PlotID","Ntester","Date","PhenologicalStage"
"1","01B",31.7779,"2019.07.31",33
"2","01C",37.351,"2019.07.31",33
"3","02B",37.778,"2019.08.02",33
"4","02C",42.6959,"2019.07.31",33
"5","03B",36.1171,"2019.08.01",33
"6","03C",35.277,"2019.07.31",33
"7","04B",31.1172,"2019.08.02",33
"8","04C",35.6705,"2019.08.02",33
"9","05B",36.321,"2019.07.31",33
"10","05C",34.429,"2019.07.31",33
"11","06B",32.926,"2019.08.02",33
"12","06C",37.803,"2019.08.02",33
"13","07B",35.61655,"2019.07.31",33
"14","07C",38.804,"2019.08.02",33
"15","08B",31.352,"2019.07.30",31
"16","08C",42.78,"2019.07.30",33
"17","09B",32.543,"2019.07.30",33
"18","09C",41.754,"2019.07.30",33
"19","10B",36.3014,"2019.07.31",33
"20","10C",36.345,"2019.07.31",33
"21","11B",34.1546,"2019.07.30",33
"22","11C",32.872,"2019.07.30",33
"23","12B",39.6061,"2019.07.30",33
"24","12C",41.178,"2019.07.30",33
"25","13B",34.58,"2019.07.31",33
"26","13C",34.498,"2019.07.31",33
"27","14B",36.208,"2019.07.31",33
"28","14C",41.5836,"2019.07.31",33
"29","16B",39.7014,"2019.08.02",33
"30","16C",39.586,"2019.07.31",33
"31","17B",35.224,"2019.07.31",31
"32","17C",35.774,"2019.07.31",33
"33","18B",38.502,"2019.07.30",33
"34","18C",35.8551,"2019.07.30",33
"35","20B",36.064,"2019.07.30",36
"36","20C",37.895,"2019.07.30",33
"37","21B",38.7451,"2019.07.30",33
"38","21C",38.2826,"2019.07.30",36
