"","PlotID","ColeopteraFoliageRichness","ColeopteraFoliageAbundance","ColeopteraFoliageN"
"1","01B",5,3,2
"2","01C",3,2.5,2
"3","02B",4,4.5,2
"4","02C",5,6.5,2
"5","03B",6,8.5,2
"6","03C",2,1.5,2
"7","04B",4,2.5,2
"8","04C",0,0,2
"9","05B",9,11,2
"10","05C",5,5,2
"11","06B",5,6,2
"12","06C",5,7,2
"13","07B",3,2,2
"14","07C",7,17.5,2
"15","08B",8,7.5,2
"16","08C",7,5,2
"17","09B",8,10,2
"18","09C",5,7,2
"19","10B",6,7.5,2
"20","10C",9,7,2
"21","11B",13,11,2
"22","11C",9,18.5,2
"23","12B",4,3.5,2
"24","12C",2,1.5,2
"25","13B",10,12,2
"26","13C",10,7.5,2
"27","14B",7,8,2
"28","14C",3,4.5,2
"29","16B",12,17,2
"30","16C",6,3,2
"31","17B",4,11,2
"32","17C",5,7,2
"33","18B",4,8,2
"34","18C",6,6.5,2
"35","20B",6,5.5,2
"36","20C",3,2.5,2
"37","21B",5,5.5,2
"38","21C",3,2.5,2
