"","PlotID","PathogenDamage","PathogenDamage_Leave","PathogenDamage_Grape","PathogenLackOf","PathogenLackOf_Leave","PathogenLackOf_Grape","PathogenSampleSize_Leave","PathogenSampleSize_Grape"
"1","01B",0.06,0.0833333333333333,0.025,0.94,0.916666666666667,0.975,300,200
"2","01C",0.006,0.00333333333333333,0.01,0.994,0.996666666666667,0.99,300,200
"3","02B",0.04,0.06,0.01,0.96,0.94,0.99,300,200
"4","02C",0.016,0.0166666666666667,0.015,0.984,0.983333333333333,0.985,300,200
"5","03B",0.026,0.00333333333333333,0.06,0.974,0.996666666666667,0.94,300,200
"6","03C",0.01,0.0166666666666667,0,0.99,0.983333333333333,1,300,200
"7","04B",0.046,0.0466666666666667,0.045,0.954,0.953333333333333,0.955,300,200
"8","04C",0.014,0.0233333333333333,0,0.986,0.976666666666667,1,300,200
"9","05B",0.016,0.0133333333333333,0.02,0.984,0.986666666666667,0.98,300,200
"10","05C",0.004,0,0.01,0.996,1,0.99,300,200
"11","06B",0.024,0.04,0,0.976,0.96,1,300,200
"12","06C",0.024,0.0333333333333333,0.01,0.976,0.966666666666667,0.99,300,200
"13","07B",0.07,0.07,0.07,0.93,0.93,0.93,300,200
"14","07C",0.062,0.0133333333333333,0.135,0.938,0.986666666666667,0.865,300,200
"15","08B",0.108,0.18,0,0.892,0.82,1,300,200
"16","08C",0.012,0.0133333333333333,0.01,0.988,0.986666666666667,0.99,300,200
"17","09B",0,0,0,1,1,1,300,200
"18","09C",0.002,0,0.005,0.998,1,0.995,300,200
"19","10B",0.02,0.0166666666666667,0.025,0.98,0.983333333333333,0.975,300,200
"20","10C",0.008,0.0133333333333333,0,0.992,0.986666666666667,1,300,200
"21","11B",0.014,0.0233333333333333,0,0.986,0.976666666666667,1,300,200
"22","11C",0.008,0.0133333333333333,0,0.992,0.986666666666667,1,300,200
"23","12B",0.054,0.07,0.03,0.946,0.93,0.97,300,200
"24","12C",0.076,0.0533333333333333,0.11,0.924,0.946666666666667,0.89,300,200
"25","13B",0.032,0.0366666666666667,0.025,0.968,0.963333333333333,0.975,300,200
"26","13C",0.006,0.00333333333333333,0.01,0.994,0.996666666666667,0.99,300,200
"27","14B",0.068,0.08,0.05,0.932,0.92,0.95,300,200
"28","14C",0.034,0.0366666666666667,0.03,0.966,0.963333333333333,0.97,300,200
"29","16B",0.13,0.203333333333333,0.02,0.87,0.796666666666667,0.98,300,200
"30","16C",0.042,0.0666666666666667,0.005,0.958,0.933333333333333,0.995,300,200
"31","17B",0.008,0.0133333333333333,0,0.992,0.986666666666667,1,300,200
"32","17C",0.004,0.00666666666666667,0,0.996,0.993333333333333,1,300,200
"33","18B",0.23,0.273333333333333,0.165,0.77,0.726666666666667,0.835,300,200
"34","18C",0.006,0.00666666666666667,0.005,0.994,0.993333333333333,0.995,300,200
"35","20B",0.012,0.0166666666666667,0.005,0.988,0.983333333333333,0.995,300,200
"36","20C",0.006,0.00666666666666667,0.005,0.994,0.993333333333333,0.995,300,200
"37","21B",0.086,0.143333333333333,0,0.914,0.856666666666667,1,300,200
"38","21C",0.008,0.0133333333333333,0,0.992,0.986666666666667,1,300,200
