"","PlotID","PestDamage","PestLackOf","PestSampleSize"
"1","01B",0,1,100
"2","01C",0,1,100
"3","02B",0,1,100
"4","02C",0,1,100
"5","03B",0,1,100
"6","03C",0.05,0.95,100
"7","04B",0.01,0.99,100
"8","04C",0,1,100
"9","05B",0,1,100
"10","05C",0,1,100
"11","06B",0,1,100
"12","06C",0,1,100
"13","07B",0.07,0.93,100
"14","07C",0.12,0.88,100
"15","08B",0,1,100
"16","08C",0,1,100
"17","09B",0,1,100
"18","09C",0,1,100
"19","10B",0,1,100
"20","10C",0.01,0.99,100
"21","11B",0,1,100
"22","11C",0,1,100
"23","12B",0,1,100
"24","12C",0,1,100
"25","13B",0,1,100
"26","13C",0,1,100
"27","14B",0.05,0.95,100
"28","14C",0.07,0.93,100
"29","16B",0.02,0.98,100
"30","16C",0.01,0.99,100
"31","17B",0,1,100
"32","17C",0,1,100
"33","18B",0,1,100
"34","18C",0.05,0.95,100
"35","20B",0.02,0.98,100
"36","20C",0.01,0.99,100
"37","21B",0,1,100
"38","21C",0.01,0.99,100
