"","PlotID","PlantRichness","PlantCover","PlantN"
"1","01B",23,85,8
"2","01C",39,98.375,8
"3","02B",35,82.5,8
"4","02C",28,66.875,8
"5","03B",27,96,8
"6","03C",26,68.125,8
"7","04B",25,97,8
"8","04C",28,96.75,8
"9","05B",37,86.125,8
"10","05C",33,91.5,8
"11","06B",39,82.125,8
"12","06C",34,91,8
"13","07B",46,70.625,8
"14","07C",26,96.625,8
"15","08B",38,93.375,8
"16","08C",40,91.625,8
"17","09B",37,96.625,8
"18","09C",24,69.375,8
"19","10B",24,99.625,8
"20","10C",39,64.25,8
"21","11B",40,85.875,8
"22","11C",41,96.875,8
"23","12B",29,20,8
"24","12C",34,97.25,8
"25","13B",28,89.375,8
"26","13C",32,94.75,8
"27","14B",44,89.25,8
"28","14C",32,74.625,8
"29","16B",38,70.625,8
"30","16C",29,64.375,8
"31","17B",37,73.125,8
"32","17C",30,59.375,8
"33","18B",29,51.25,8
"34","18C",36,88.125,8
"35","20B",36,71.25,8
"36","20C",30,89.625,8
"37","21B",25,14.0625,8
"38","21C",18,16.75,8
