"","PlotID","PredRateEggs","PredRateEggsSampleSize","PredRatePupae","PredRatePupaeSampleSize"
"1","01B",32.5708296008086,20,70.5263157894737,17
"2","01C",36.7480471715902,20,46.6666666666667,12
"3","02B",44.2311294989387,19,46.6666666666667,11
"4","02C",38.9280700881643,20,50,14
"5","03B",46.1930812997308,19,19,6
"6","03C",37.2750681813742,20,37.8947368421053,11
"7","04B",41.7644452833053,20,28,11
"8","04C",29.3678205787613,20,50,14
"9","05B",43.928298464428,20,24.2105263157895,9
"10","05C",26.4836199302644,20,23.3333333333333,6
"11","06B",44.0982093464236,20,30,13
"12","06C",34.9126040810653,19,23.1578947368421,7
"13","07B",45.3867292008116,20,22,9
"14","07C",30.600865676297,20,21,8
"15","08B",51.5239494143545,20,37.7777777777778,9
"16","08C",37.4087063017782,20,34,11
"17","09B",42.9445665133793,20,68.2352941176471,15
"18","09C",41.698814798676,20,20,7
"19","10B",43.8308544883476,19,27,14
"20","10C",41.5294767106917,20,51,14
"21","11B",54.8765059958264,20,40,12
"22","11C",39.9977259301156,19,42.2222222222222,11
"23","12B",57.223614026859,20,54.1176470588235,12
"24","12C",34.9986927429846,20,30,8
"25","13B",54.669989442776,20,72.9411764705882,15
"26","13C",39.7528837367447,20,58.9473684210526,13
"27","14B",55.0003612909688,19,46.3157894736842,10
"28","14C",50.9316586586815,20,13.3333333333333,6
"29","16B",47.8046735436934,20,50.5263157894737,14
"30","16C",45.5907009824605,19,42,12
"31","17B",76.24429839573,20,60,14
"32","17C",67.0645007605911,20,62,17
"33","18B",57.8734061900691,20,32.2222222222222,11
"34","18C",48.2698204874835,20,33.3333333333333,11
"35","20B",65.0693622024662,19,21.1764705882353,8
"36","20C",62.793499447316,20,31.5789473684211,10
"37","21B",64.9283384425984,20,39,13
"38","21C",56.5575119123437,20,54.7368421052632,12
