"","PlotID","Phosphatase","Glucosidase","Urease"
"1","01B",417.295049249993,246.220219007251,24.2466047181503
"2","01C",515.706114819029,161.416228788558,31.3355021148499
"3","02B",1252.46063760778,180.896697251072,54.2831864419954
"4","02C",209.690809588786,150.313171986923,60.0635432402513
"5","03B",406.112946707836,376.497915122101,144.332306340373
"6","03C",280.171451591582,128.001510350355,51.394600366686
"7","04B",449.656939261525,349.685038221501,58.620146410454
"8","04C",755.89658742565,123.807141122202,33.9397947214519
"9","05B",704.460318769767,249.222014976037,6.52336842337422
"10","05C",731.83266442922,68.3690106916587,10.1922007312386
"11","06B",407.807659828618,128.23162305963,1.40476567433715
"12","06C",585.633692022948,155.209253444405,4.04962234572248
"13","07B",256.585548845508,499.184482756585,94.7705830107039
"14","07C",611.751754815447,186.847848066001,18.283354778056
"15","08B",387.555580874193,186.097425684332,8.6269359923594
"16","08C",240.474855497442,68.8228623773828,10.9401522564009
"17","09B",221.278233645773,174.988273134952,1.62290115248594
"18","09C",164.806603198712,139.985093023356,1.40476567433715
"19","10B",290.792058587772,58.3766369036684,10.2304680142709
"20","10C",500.326082303348,161.485189137584,61.304180002864
"21","11B",156.251822482592,206.822590205756,124.608141904445
"22","11C",112.038253593865,30.3963238243739,72.815003194074
"23","12B",148.669164974876,219.507928913449,57.4971730114765
"24","12C",349.302900776755,236.422820555986,54.0533624763511
"25","13B",194.656714234856,202.465614572521,21.5500268374337
"26","13C",177.566269052706,162.196693990857,65.9309580917212
"27","14B",254.703861824399,443.555108805546,59.0636505051263
"28","14C",279.32797106824,276.533895320084,32.8604340952045
"29","16B",206.67483531492,135.758748506548,66.0487248311354
"30","16C",189.519757654201,165.30192154052,78.4853795816449
"31","17B",190.00121457683,208.331015570558,64.8344886789057
"32","17C",221.779777144708,227.040810832868,56.1822302905727
"33","18B",316.718273287983,114.144658997972,10.4726761236573
"34","18C",325.675889260693,194.917379422677,35.3304810172372
"35","20B",284.93621582056,198.513846721209,16.2682708326464
"36","20C",300.742680708374,198.149243227717,26.4744547732357
"37","21B",141.062843368924,76.3456019901078,7.3990938230129
"38","21C",200.114441822081,71.9828746594947,11.2808602772203
