"","PlotID","SpiderRichness","SpiderAbundance","SpiderN"
"1","01C",11,5.5,4
"2","01B",12,63.5,4
"3","02C",9,6.5,4
"4","02B",10,5.25,4
"5","03C",8,3.5,4
"6","03B",12,12.25,4
"7","04C",6,2.75,4
"8","04B",9,7.25,4
"9","05C",9,13.25,4
"10","05B",15,37.25,4
"11","06C",16,17,4
"12","06B",15,18,4
"13","07C",14,20,4
"14","07B",20,25.25,4
"15","08C",7,12,4
"16","08B",12,13.75,4
"17","09C",11,11,4
"18","09B",9,7.5,4
"19","10C",8,10.25,4
"20","10B",18,10,4
"21","11C",8,8,4
"22","11B",15,10.5,4
"23","12C",6,9.5,4
"24","12B",17,34,4
"25","13C",16,9.25,4
"26","13B",9,11,4
"27","14C",10,10.75,4
"28","14B",11,15.25,4
"29","16C",12,25.6666666666667,3
"30","16B",17,64.25,4
"31","17C",11,23.5,4
"32","17B",17,79.25,4
"33","18C",17,10.75,4
"34","18B",18,22.75,4
"35","20C",12,57.25,4
"36","20B",15,21.25,4
"37","21C",8,3,4
"38","21B",10,8.75,4
