"","Response","LRR","PercentChange"
"1","MB_MeanScMax",0.138647701999625,14.8719337183743
"2","MB_Thresh70",0.4075962706529,50.3200152628595
"3","BirdRichness",0.149707886146359,16.1494904415472
"4","ButtRichness",0.294139155959944,34.1970633886134
"5","EwormRichness",-0.214156805300254,-19.2778201558259
"6","MicrobeRichness",0.0804334917285447,8.37567654561313
"7","PlantRichness",0.0639797710378058,6.60708330368021
"8","BeeRichness",0.047026846209147,4.8150147560027
"9","SyrphidRichness",0.179321083880058,19.6404828807444
"10","SpiderRichness",0.307480043747043,35.9993667853493
"11","CarabRichness",-0.353676203174136,-29.7897730960227
"12","CollemboRichness",0.181778881809421,19.9348966684284
"13","SpiderFoliageRichness",0.283382384400099,32.7612723163913
"14","ColeopteraFoliageRichness",0.325237055729624,38.435877726652
"15","HemipteraFoliageRichness",0.41266921469231,51.0845177880318
"16","HeteropteraFoliageRichness",0.328990358738525,38.9564458368749
"17","MA_MeanScMax",0.105720888134749,11.1511597132094
"18","MA_Thresh70",0.371754360160489,45.0276691801683
"19","BirdAbundance",0.080196132121843,8.34995559033091
"20","ButtAbundance",0.281570002635408,32.520876118034
"21","EwormAbundance",-0.480749384181244,-38.1680140975536
"22","MicrobeAbundance",0.127192999437366,13.5636173774905
"23","BeeAbundance",0.0729992694125071,7.57297509997146
"24","SyrphidAbundance",-0.000524122578220608,-0.0523985249975434
"25","SpiderAbundance",0.618764822191973,85.6633352648664
"26","CarabAbundance",-0.248873457116744,-22.0321370075729
"27","CollemboAbundance",0.205554241433256,22.8205598787141
"28","SpiderFoliageAbundance",0.182801546724428,20.0576126172888
"29","ColeopteraFoliageAbundance",0.345128716023282,41.2171677092329
"30","HemipteraFoliageAbundance",0.486720050432993,62.6971075770148
"31","HeteropteraFoliageAbundance",0.479387695218726,61.5085174994714
"32","PlantCover",-0.0609353415689933,-5.91159261027535
"33","EMF_Production",-0.111933516922089,-10.5896301709734
"34","EMF_Soil",0.0655836584257911,6.77820625434822
"35","EMF_Regulation",0.0866787137717526,9.05462459364319
"36","EMF_MeanScMax",0.0100821399949712,1.01331360072998
"37","EMF_Thresh70",0.193570568388804,21.3575023563938
"38","YieldRealised_hlperha",-0.170806680467629,-15.701547690576
"39","Ntester",-0.0608417119024105,-5.90278273163558
"40","SoilC",0.0520202400084846,5.3397063063094
"41","SoilN",0.0872909056025388,9.12140738378242
"42","DecompokRate",-0.083132912822585,-7.97711711196037
"43","DecompoSfactor",0.048828313736662,5.00400578096807
"44","SoilPhosphatase",-0.00810212108277455,-0.806938736359619
"45","SoilGlucosidase",0.356112000974121,42.7767450654358
"46","SoilUrease",0.162677164736494,17.6656762068912
"47","PredRateEggs",0.209505440313823,23.3068083369916
"48","PredRatePupae",0.1027387480503,10.8201851359566
"49","PredRatePlasticine",0.658764864725773,93.2404079354153
"50","PathogenDamage",1.06422022473215,189.857786326145
"51","PestDamage",-1.40998616351869,-75.5853338739218
