"","Response","PercentChange","Pval_Organic","AdjPval_Organic","PercentChange_Org","PercentChange_Conv","Pval_Interaction","AdjPval_Interaction"
"1","MB_MeanScMax",14.8719337183743,"*","*",-4.34738640212243,7.39294381329585,"",""
"2","BirdRichness",16.1494904415472,"","*",-35.4916484056783,-5.10773351667879,"",""
"3","ButtRichness",34.1970633886134,"","*",162.656772445221,33.2338360030175,"",""
"4","EwormRichness",-19.2778201558259,"","*",1.2781895649137,-51.1608171938131,"",""
"5","MicrobeRichness",8.37567654561313,"","",-38.000099526759,-36.9880595488529,"",""
"6","PlantRichness",6.60708330368021,"","",-7.18352405002383,38.1348885950655,"",""
"7","BeeRichness",4.8150147560027,"","",-13.3764211948697,-9.17162865200863,"",""
"8","SyrphidRichness",19.6404828807444,"","",-67.7760147497584,-39.0464931588684,"",""
"9","SpiderRichness",35.9993667853493,"*","*",-10.9127507819928,17.5601928987686,"",""
"10","CarabRichness",-29.7897730960227,"*","*",-52.3299973962498,45.7161249530243,"",""
"11","CollemboRichness",19.9348966684284,"","",40.4788602997651,54.2843282519246,"",""
"12","SpiderFoliageRichness",32.7612723163913,"*","*",40.9218699946804,-37.6624771714375,"*",""
"13","ColeopteraFoliageRichness",38.435877726652,"*","*",-8.09571550616303,132.183517596171,"*",""
"14","HemipteraFoliageRichness",51.0845177880318,"*","*",12.3939770640875,12.4655761987185,"",""
"15","HeteropteraFoliageRichness",38.9564458368749,"","",22.7261995689563,90.174383695294,"",""
"16","MA_MeanScMax",11.1511597132094,"","",-1.27891777285914,-1.46587446333141,"",""
"17","BirdAbundance",8.34995559033091,"","",-60.7261571745781,-27.0634304684812,"",""
"18","ButtAbundance",32.520876118034,"","*",222.237951217588,216.785427342758,"",""
"19","EwormAbundance",-38.1680140975536,"","*",173.327683755742,74.5176135594348,"",""
"20","MicrobeAbundance",13.5636173774905,"*","*",-22.7628245623358,-18.2701740223465,"",""
"21","BeeAbundance",7.57297509997146,"","",-29.4976764131055,45.338757621018,"",""
"22","SyrphidAbundance",-0.0523985249975434,"","",-81.0813430474405,-76.796919752115,"",""
"23","SpiderAbundance",85.6633352648664,"*","*",-52.7436300441926,-9.27747843316429,"",""
"24","CarabAbundance",-22.0321370075729,"","",58.7988732015802,16.2535409305622,"",""
"25","CollemboAbundance",22.8205598787141,"","",-4.02849648880261,-23.8443923145403,"",""
"26","SpiderFoliageAbundance",20.0576126172888,"","",17.9278172394666,-26.1722078935962,"",""
"27","ColeopteraFoliageAbundance",41.2171677092329,"","",-13.6299274155897,-7.13341314235001,"",""
"28","HemipteraFoliageAbundance",62.6971075770148,"*","*",9.86263773186988,78.5402916101468,"",""
"29","HeteropteraFoliageAbundance",61.5085174994714,"","",67.3821993019382,59.0424283596667,"",""
"30","PlantCover",-5.91159261027535,"","",35.7473960722837,43.9676185424958,"",""
"31","EMF_Production",-10.5896301709734,"*","*",-0.260396358562032,21.044207650324,"",""
"32","EMF_Soil",6.77820625434822,"","",-15.0482681510714,-9.34939283196763,"",""
"33","EMF_Regulation",9.05462459364319,"*","*",9.73936066559697,-19.6438066296761,"*",""
"34","EMF_MeanScMax",1.01331360072998,"","",-2.34561751361591,-2.34054555502399,"",""
"35","YieldRealised_hlperha",-15.701547690576,"*","*",11.601049894301,30.9946112085439,"",""
"36","Ntester",-5.90278273163558,"*","*",-7.47226541599896,14.1082471232749,"*",""
"37","SoilC",5.3397063063094,"","",0.374896981080308,-39.3590210138007,"",""
"38","SoilN",9.12140738378242,"","",-14.9961538894647,-5.36571919440858,"",""
"39","DecompokRate",-7.97711711196037,"","",-3.49117024010059,6.17326511197238,"",""
"40","DecompoSfactor",5.00400578096807,"*","*",-0.625368104017954,3.23092129272724,"",""
"41","SoilPhosphatase",-0.806938736359619,"","",65.1404933841438,79.384157184426,"",""
"42","SoilGlucosidase",42.7767450654358,"*","*",-26.2296558633711,7.21778846966445,"",""
"43","SoilUrease",17.6656762068912,"","",-98.5265724789289,-46.544109907457,"",""
"44","PredRateEggs",23.3068083369916,"*","*",-20.0615496279722,-30.2250635689162,"",""
"45","PredRatePupae",10.8201851359566,"","",25.5829124808274,-28.231833437396,"",""
"46","PredRatePlasticine",93.2404079354153,"*","*",172.624262184362,-116.405627101985,"*",""
"47","PathogenDamage",189.857786326145,"*","*",-4.35218332706986,-49.3199517513434,"",""
"48","PestDamage",-75.5853338739218,"","",-100.261577794595,-99.7382797474973,"",""
